time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-07 00:00:00+00:00,2.0,2.0,564,159
2025-01-08 00:00:00+00:00,2.0,1.0,615,172
2025-01-09 00:00:00+00:00,1.0,1.0,731,199
2025-01-10 00:00:00+00:00,2.0,2.0,606,157
2025-01-11 00:00:00+00:00,4.0,2.0,141,26
2025-01-12 00:00:00+00:00,2.0,2.0,75,31
2025-01-13 00:00:00+00:00,16.0,5.0,574,172
2025-01-14 00:00:00+00:00,18.0,3.0,542,153
2025-01-15 00:00:00+00:00,1.0,1.0,2273,174
2025-01-16 00:00:00+00:00,1.0,1.0,636,148
2025-01-17 00:00:00+00:00,3.0,2.0,632,149
2025-01-18 00:00:00+00:00,3.0,3.0,57,25
2025-01-19 00:00:00+00:00,3.0,3.0,165,31
2025-01-20 00:00:00+00:00,,,567,131
