time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-27 00:00:00+00:00,1.0,1.0,181,25
2024-07-28 00:00:00+00:00,,,289,40
2024-07-29 00:00:00+00:00,11.0,7.0,943,190
2024-07-30 00:00:00+00:00,5.0,3.0,795,168
2024-07-31 00:00:00+00:00,14.0,4.0,794,142
2024-08-01 00:00:00+00:00,1.0,1.0,804,173
2024-08-02 00:00:00+00:00,4.0,2.0,683,152
2024-08-03 00:00:00+00:00,3.0,2.0,193,30
2024-08-04 00:00:00+00:00,16.0,8.0,163,40
2024-08-05 00:00:00+00:00,15.0,8.0,696,137
2024-08-06 00:00:00+00:00,29.0,7.0,763,198
2024-08-07 00:00:00+00:00,11.0,2.0,906,191
2024-08-08 00:00:00+00:00,28.0,5.0,1016,149
2024-08-09 00:00:00+00:00,37.0,6.0,566,154
